zip_code,county,latitude,longetude
11377,Queens,40.742869,-73.90377
11378,Queens,40.724096,-73.90271
10302,Staten Island,40.631127,-74.13715
10306,Staten Island,40.569394,-74.11785
10301,Staten Island,40.631775,-74.09432
10314,Staten Island,40.606337,-74.14513
10303,Staten Island,40.629448,-74.16239
10310,Staten Island,40.63212,-74.11551
10307,Staten Island,40.508274,-74.24387
10308,Staten Island,40.551353,-74.15098
10309,Staten Island,40.529749,-74.21304
10312,Staten Island,40.543117,-74.17628
10304,Staten Island,40.60787,-74.08991
10305,Staten Island,40.599021,-74.07503
