business_id,review_id,reviewer_rating,reviewer_full,short name,gender
0OhHaleW2rPQdj6e3eSWWQ,gPxDDP7nJ_5De5_5oR3yjg,1,Jacqueline A.,jacqueline,Female
0RuvlgTnKFbX3IK0ZOOocA,ZaPdjuuQAI0wYKmnQzEyoQ,5,Stephanie D.,stephanie,Female
0RuvlgTnKFbX3IK0ZOOocA,KwhQn-LJr8mfHWDWN9ODnA,4,Qin Z.,qin,Female
0RuvlgTnKFbX3IK0ZOOocA,y3K8NnQ7iDwKcMhwSzPuVw,5,Mei E.,mei,Female
0SakkRuHhECsDsZ8mRkisQ,0feaHd4gLxnZ5D8l0lm9gw,5,Matt S.,matt,Male
0SakkRuHhECsDsZ8mRkisQ,HJuLz2G1W-UUBfn0O-q-Gw,4,Olivia C.,olivia,Female
0WyRlH-fxOVLh1b3oEBEEQ,7rl6LiOAtHHWvSezlSvXrQ,2,Yessica C.,yessica,Female
0WyRlH-fxOVLh1b3oEBEEQ,LFvkmIKCLhY_GPiOqKeUHw,3,Johana R.,johana,Female
0eMo-MeawM-tmbwpzv3rDg,uSw_GKpM8qfkaaP_S2JIDg,5,Kimberly E.,kimberly,Female
0eMo-MeawM-tmbwpzv3rDg,y2naAfzvvW9fXQNyvKNBVw,5,Denisse R.,denisse,Female
0eMo-MeawM-tmbwpzv3rDg,tHeapXOv9GQ_cuL2AqQIuA,4,Cesar M.,cesar,Male
0fYNLK7VpBUW4mgFyPCrWQ,Jfx8Yb7AEd1ltFojzhtCqw,5,The FoodBoss S.,the,Male
0hfDRVaGSydijN5du1HCzg,VVroJqijmhxbrxoeNhyiqw,5,Corbin A.,corbin,Male
0hfDRVaGSydijN5du1HCzg,gq5NFONmNSuwfskmTkdzKA,5,Jenny K.,jenny,Female
0hfDRVaGSydijN5du1HCzg,ha2oIUGVej5sfiiewD4fLg,4,John D.,john,Male
0luiNMkh4efgQmmYIRlAUQ,z6ui_6Vhc7kr84CPvLz6fQ,5,Angela S.,angela,Female
0luiNMkh4efgQmmYIRlAUQ,UwZLZ-cbIT49dkDnW_jIrw,4,Angie R.,angie,Female
0luiNMkh4efgQmmYIRlAUQ,_u0NSn8abp-HDhQncuVM3Q,5,Kyle H.,kyle,Male
0mRtZ39VQI5CfHEJ7zDwug,yg9pcQ_aZnKoXvO4Dn--sQ,4,May T.,may,Female
0mRtZ39VQI5CfHEJ7zDwug,24UQWbxPlmhdHXPgydma3g,4,Jenny L.,jenny,Female
0n-xuWtvGYOfEBF95IaSGw,ce73aSiCjBOef-xOsqCwUw,5,Henry C.,henry,Male
0n-xuWtvGYOfEBF95IaSGw,DuaAWq7DNLWgFr7eNcpE5w,4,Michael H.,michael,Male
0n-xuWtvGYOfEBF95IaSGw,Xo5WTV6QVOMbezw30ZtiOg,5,Tom F.,tom,Male
0pc352jFnUQFAw8DgmeSjw,w_hT0IuXd8IJjlGFURH4eQ,5,Mona S.,mona,Female
0pc352jFnUQFAw8DgmeSjw,HhxKa52mA9Wc_FGzqk0Eug,5,Rena D.,rena,Female
0pc352jFnUQFAw8DgmeSjw,asJ98ZTl6VUi1mP8db_VcQ,2,John H.,john,Male
0qgAi9NA512PuF0ug-yQwg,uijMQiAXL9lOx5E1O2orzg,5,James D.,james,Male
0qgAi9NA512PuF0ug-yQwg,2h4DHbjAjrnQui8abwpKPQ,3,Brittani S.,brittani,Female
0qgAi9NA512PuF0ug-yQwg,-M-Kw_pomwG8nu16zpJEg,5,Jessica D.,jessica,Female
0sM-AAk5rJ-4KpyCwg3x-Q,gwBBfumaeMMDXFhvArxqaA,5,Mark R.,mark,Male
0sM-AAk5rJ-4KpyCwg3x-Q,KE0ecGyrnhPN09uizUAEzw,2,Emilia D.,emilia,Female
0sM-AAk5rJ-4KpyCwg3x-Q,Y-sHSGBrQWeTR5D_NHVoKw,5,Christopher S.,christopher,Male
0saWzOZuxrjvvReiVQL_Mw,-nMgLfSQNpNAckVXp14TIQ,5,Kaitlyn L.,kaitlyn,Female
0saWzOZuxrjvvReiVQL_Mw,fgo3aPlthCP-9rUikdclQg,5,Kunal C.,kunal,Male
0saWzOZuxrjvvReiVQL_Mw,bJavFOPlxkU5NbSOI2Bz6g,5,Marciann A.,marciann,Female
0syWUHwfAz1jfuNY6KymPQ,m_CoQ-zh-5dNLGvFhn3D-g,5,Edward C.,edward,Male
0syWUHwfAz1jfuNY6KymPQ,d1QLthVMVGpmTwJNOt_99A,1,Ajay S.,ajay,Male
0syWUHwfAz1jfuNY6KymPQ,nR_wo9rNttZ4GLMb3_YN2w,4,Carrie G.,carrie,Female
0upo44caHvgYeA34PSNFRQ,n-kG8awOA3KvXsQZx9HctA,5,Cristina Z.,cristina,Female
0upo44caHvgYeA34PSNFRQ,Pt6Ac0tUmhzb8dBjp9Dw9w,4,Peter P.,peter,Male
0upo44caHvgYeA34PSNFRQ,NBiqrkHqDcX9oHewRZZbyw,5,Eddy R.,eddy,Male
0ye0c8e9Jyj6zSWlQIkQog,i9vzhaBiUN-sPtz_Xmnb1g,5,Sharon F.,sharon,Female
0zvo5YGRwC8FB7zwHi_Wig,zcBBLaXFFpx1WAAlDfJBZQ,5,Brian G.,brian,Male
0zvo5YGRwC8FB7zwHi_Wig,UZasV7Hnq0tIIBLC4VyJWQ,3,Matt P.,matt,Male
0zvo5YGRwC8FB7zwHi_Wig,e1lpatXPUKO2vZwxc_uZDg,2,Jessica D.,jessica,Female
15LVDu1_v97JEx-g97wnfA,V9E8G8G_O3nk65hUdFoX2w,5,Sid B.,sid,Male
15LVDu1_v97JEx-g97wnfA,_Kss5NGxlXtJRSxB7fLMYg,1,Benjamin W.,benjamin,Male
15LVDu1_v97JEx-g97wnfA,h6-25xLzMx9SxCYWaEeWHA,4,Patti T.,patti,Female
16heVvLqYfLpl8mC1RN3Bg,JZuqI2P738bwWmjXKjgQaw,5,Katey G.,katey,Female
16heVvLqYfLpl8mC1RN3Bg,ovErX-VuV8oTSB0Xj6VkcA,4,Flora L.,flora,Female
170HjUekKCDaJx_m-604IA,8SnN_MJ0ehd6-SoRNMMGKQ,4,Erik B.,erik,Male
170HjUekKCDaJx_m-604IA,Li6MrV2IxC7onq0SWm2t6A,3,Sarai B.,sarai,Female
170HjUekKCDaJx_m-604IA,aPdrFkHDM9VOn45tFn23IQ,4,Christian G.,christian,Male
19o6iblcJvz2hdPouYhXgg,BLP6cqfibgUWmgtTRKH_rw,5,Matthew K.,matthew,Male
19o6iblcJvz2hdPouYhXgg,F23yInPkeFh81CgTmIoAUA,2,Bill A.,bill,Male
19o6iblcJvz2hdPouYhXgg,olGz17DsswBla05h1ruJiA,4,Christine R.,christine,Female
1DfbZ0VsSCg9g1KILmnvzQ,WzHIW_JMmA93j8f2NvxeVA,5,Rachel G.,rachel,Female
1DfbZ0VsSCg9g1KILmnvzQ,-MJpMDcD0R7KNoATFNBw2w,4,Eleanor Y. W.,eleanor,Female
1DfbZ0VsSCg9g1KILmnvzQ,1H9y_oadlmxHc0EYDivAYQ,5,Jiali Z.,jiali,Female
1JaZHnhr71Cwmx-vbGf0-A,R4A9OxTFXIP89EFdP0X8tg,5,Steve A.,steve,Male
1JaZHnhr71Cwmx-vbGf0-A,b8DEPXa_7FDucXzHu7DDAw,5,Debra K.,debra,Female
1JaZHnhr71Cwmx-vbGf0-A,CddbNVVSJLqCdlwK7MziSQ,5,Jon A.,jon,Male
1OZPOWZwJr-hpvMt6TD4ug,59ePFQNaRdoZiA-simb3cg,5,Dylan F.,dylan,Male
1OZPOWZwJr-hpvMt6TD4ug,SLsy0SPU10vHjkhjxflLzg,5,Lawrence R.,lawrence,Male
1Q3oaJahyGRogDWgpo7PIw,mxB31t9JBrQRCbEYcbqG5g,5,Jennifer L.,jennifer,Female
1Q3oaJahyGRogDWgpo7PIw,RpZFmj4ds7mKVJ_ih7S-YQ,3,John T.,john,Male
1Q3oaJahyGRogDWgpo7PIw,WADneUo4LkMcdeIvgVKVcw,5,Matthew R.,matthew,Male
1SHr4WI1RCSEGfyjpDfVsA,XhEguUPMpkHe2gb6Hf0i2g,5,Michelle V.,michelle,Female
1SHr4WI1RCSEGfyjpDfVsA,q25470HWq8TAPhCowruesA,2,Rayne A.,rayne,Female
1SHr4WI1RCSEGfyjpDfVsA,Wb3kiecv397JwQtoiJ54QQ,1,Cindy B.,cindy,Female
1Y3zvfXJCmYCMdws7Hdg8Q,Nsj558zOojXD7pkFs_lGGA,5,Louise S.,louise,Female
1ZKbUeFAs0ltSnAYq4ELKw,uRMoImUAvTYJR3pbwqoQQA,5,Mitchell G.,mitchell,Male
1ZKbUeFAs0ltSnAYq4ELKw,aRYn5JQUCOqhnqLGGo4_Xg,5,Kamilla B.,kamilla,Female
1ZKbUeFAs0ltSnAYq4ELKw,Pfu5mAb8jcJuv2m1X23ISg,5,Marge W.,marge,Female
1_bIwtYU3RYuPooHpAIQZg,kjNQDKI8w4WUuUGaBKTPRQ,5,Emily S.,emily,Female
1_bIwtYU3RYuPooHpAIQZg,2WC0RmVnuh4wQ_9Lnlry0w,5,Audrey C.,audrey,Female
1_bIwtYU3RYuPooHpAIQZg,CauRl1Gpo9LEHl2qVaFpbg,5,Sasha M.,sasha,Male
1ajkKqDVs4oyhCSjj7-wqQ,9B1rrsKuNJdnpkkfmXfHDQ,5,John B.,john,Male
1ajkKqDVs4oyhCSjj7-wqQ,VTiPFwLXQKafsGElpOulUQ,5,Kyla B.,kyla,Female
1ajkKqDVs4oyhCSjj7-wqQ,UYF9SL5px0fBgNouYQegiQ,5,Vickie L.,vickie,Female
1b7VzPKVn5D9uSaV4I__lg,s8rBi0XQ-YbzZ6YdnHGcMA,5,Valeria G.,valeria,Female
1b7VzPKVn5D9uSaV4I__lg,y2z30vV94751Lr_JIwagmQ,5,Alan B.,alan,Male
1fYBZCQh_fI8XUOpZ15Vag,mLJNZvTOpBrL6wYRlRBmGA,4,Tiffany V.,tiffany,Female
1fYBZCQh_fI8XUOpZ15Vag,kgJP5K13jG6gNFcgs_bv1A,5,Ceylan T.,ceylan,Female
1hJYOI26FjCQ-Ce6iKAvug,ffgui78sL0OBtyM3-wdtqA,5,Kevin K.,kevin,Male
1hJYOI26FjCQ-Ce6iKAvug,M8x7pLp_6DjMNDdIGa2V_Q,4,Johnny B.,johnny,Male
1hMD7RQogPDWpE-p3LKjXA,ObS18p0rHn9pa__bUR1USA,5,Meryl G.,meryl,Female
1hMD7RQogPDWpE-p3LKjXA,0W2NE8kxFwZMufvvlFsiSg,5,Nikki M.,nikki,Female
1hsW2pGSSDkq65p03e_ACQ,2LEaYKR7NbZm4ZSfV2XaMA,5,Delilah B.,delilah,Female
1hsW2pGSSDkq65p03e_ACQ,UpmLK5SqpIFf7EFU0qH3vQ,5,Janice M.,janice,Female
1qwxzGRcU1y3tJrsoYQ4Rw,VfcHI88M27MstjF7dsG88w,5,Kelsey G.,kelsey,Female
1qwxzGRcU1y3tJrsoYQ4Rw,dX0HTlmtI8yAh4pne2ATlg,1,Anastasios S.,anastasios,Male
1qwxzGRcU1y3tJrsoYQ4Rw,lZzUVPgPSCQESjljaR6gDQ,4,Albert K.,albert,Male
1uFRbr6B-BiNGtT90sdk0w,SY4zfmlA5u27tmrqcUMvPA,5,Karen C.,karen,Female
1uFRbr6B-BiNGtT90sdk0w,eiFBsTuzbd9rOoA_hzezPw,2,Sara C.,sara,Female
1wSxClt75nOBS31--dlWYg,MQlR30Bm2N_IHm9ylHD--A,5,Ryan M.,ryan,Male
1wSxClt75nOBS31--dlWYg,UM156_mIUBLyxSt3hJn8TQ,5,Jessie Elizabeth J.,jessie,Female
2-su3xdxOvyF0_2GZN4FLw,quW0CCEYuDTYyk-bJ9L9ow,5,Frank O.,frank,Male
2-su3xdxOvyF0_2GZN4FLw,t1ZFWE8HDiZCCF3auPFz-A,2,Danny G.,danny,Male
2-su3xdxOvyF0_2GZN4FLw,4ZXhh5TwBVRbe581ww9fjA,5,Alice G.,alice,Female
20LSOx_4K2wghTsUx4gSsg,gyKE2X1bGnBkrYfsY5IqRQ,5,Addi W.,addi,Female
20LSOx_4K2wghTsUx4gSsg,JBvH9EyCUul05lFjsnBwuw,5,Jessica C.,jessica,Female
22CRLIEfJWIO-8RjEiecAg,aIER0pjmQmqver_WfgEgMw,5,Kimmie D.,kimmie,Female
22CRLIEfJWIO-8RjEiecAg,wdAazxb5rLO8bpFgI_rs7w,5,Saima K.,saima,Female
237MSviehmCzD_wwKg4-zA,6Q027-Po9D4wVoOzwSVnyA,5,Larissa R.,larissa,Female
23jnzyg-vO6-Kwjenz7N6g,MnsCehPHFd_hYmHREBwBuA,5,John L.,john,Male
23jnzyg-vO6-Kwjenz7N6g,Mgk5rFReNwyZGvbxiXOTMg,4,Tanya C.,tanya,Female
24p-MWh8_jZWLZnR9X2NgQ,ECNyrQesOO_DbbiZDZHaog,4,Shantel A.,shantel,Female
24p-MWh8_jZWLZnR9X2NgQ,BZOa2yCNcaZvdduV-FKdrA,4,Sandra S.,sandra,Female
25UVMrpxCoo5dN7K8mM0Cw,gEG78FhRUw9ddYcqOg-7mw,4,Lenny K.,lenny,Male
25UVMrpxCoo5dN7K8mM0Cw,Uettc8devcHlS2pKlCgliQ,2,Renee C.,renee,Female
2A18f5TRpM9fBL29byLiAA,Efo-vl4zv-5dLdI3o-GzZg,5,Chanel T.,chanel,Female
2A18f5TRpM9fBL29byLiAA,mxoy-viRO5ZZhm251o4eUw,4,Jamal G.,jamal,Male
2CDI713ATuxHfnB5b-sBdw,ZTtDhu0vC0I56KYoMQrsPA,5,Judson W.,judson,Male
2CDI713ATuxHfnB5b-sBdw,phT99mTx5lpvHiE477u1fQ,5,Jeany Z.,jeany,Female
2CDI713ATuxHfnB5b-sBdw,lW5wAcGOrQRSqNt1FMTqXg,5,Jim C.,jim,Male
2F5L_0MZSPp5egi_yY0-yA,dxbaihF8ExXk8m5mXuNgww,5,Polina S.,polina,Female
2F5L_0MZSPp5egi_yY0-yA,9I_8llRm4ztM_P23ksiigg,4,Lucinda A.,lucinda,Female
2F5L_0MZSPp5egi_yY0-yA,R_3WJ7-TMCMerpuNcWMWjQ,4,Tanya J.,tanya,Female
2I0GExiJv27i_oi8b-te9Q,OTLRxTDw4DMDycPIpm6IjA,5,Michelle K.,michelle,Female
2I0GExiJv27i_oi8b-te9Q,bK0eOjmIYgLhvmjy69veZw,5,Anita L.,anita,Female
2O5w-15_AVnnVJEtlWWE_A,S0Btln2FjxV_6QZxf4zDyw,5,Sara C.,sara,Female
2O5w-15_AVnnVJEtlWWE_A,kpYCEyiJGaGN4dcDpkNxhQ,4,Maeve C.,maeve,Female
2O5w-15_AVnnVJEtlWWE_A,CrtN4LSbZ2rxHWxJ0RYXSA,2,Yoly B.,yoly,Female
2VFcBAIfzB_7_JPrSZxijQ,7WJBnn2N7ORrlzTSHn_kLA,5,Mark S.,mark,Male
2VFcBAIfzB_7_JPrSZxijQ,qhGEe3hzAHTfSiTuBkRRbg,1,Jon O.,jon,Male
2cETD5PTiMqD7LihZN0TRg,AdCuhFXLEHl3b3Yv-z8KIA,5,Moira L.,moira,Female
2cETD5PTiMqD7LihZN0TRg,TrHiRhH7Q3HX36juak9kpw,4,Crystal K.,crystal,Female
2f-qNpdVJl2h9L6SHYuICA,0vmUJJIJIQGeh2BvDXnRbg,5,Mercedes C.,mercedes,Female
